EmployeeNumber,Gender,Hourly Rate,JobRole,JobRole_lower,New_job_role,JobSatisfaction,JobSatisfaction_new,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,YearsSinceLastPromotion,Job_role_first,upper_job,M or F,Job_id
645,Male,40,Sales Representative,sales representative,Sales Representative,3,7.5,1,No,11,3,0,Sal,SAL,M,SAL645M
647,Female,55,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,1,Yes,16,3,1,Lab,LAB,F,LAB647F
648,Male,74,Sales Representative,sales representative,Sales Representative,1,2.5,1,No,18,3,0,Sal,SAL,M,SAL648M
649,Male,83,Research Scientist,research scientist,Research Scientist,4,10,1,Yes,13,3,1,Res,RES,M,RES649M
650,Male,46,Sales Executive,sales executive,Sales Executive,1,2.5,2,No,17,3,1,Sal,SAL,M,SAL650M
652,Male,54,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,4,No,14,3,0,Lab,LAB,M,LAB652M
653,Male,66,Sales Executive,sales executive,Sales Executive,4,10,4,No,22,4,5,Sal,SAL,M,SAL653M
655,Female,66,Research Scientist,research scientist,Research Scientist,3,7.5,0,No,12,3,0,Res,RES,F,RES655F
656,Male,75,Sales Executive,sales executive,Sales Executive,3,7.5,4,Yes,11,3,1,Sal,SAL,M,SAL656M
657,Female,83,Research Scientist,research scientist,Research Scientist,2,5,1,No,13,3,0,Res,RES,F,RES657F
659,Female,81,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,1,No,13,3,2,Hea,HEA,F,HEA659F
661,Male,50,Research Director,research director,Research Leader,4,10,4,Yes,14,3,0,Res,RES,M,RES661M
662,Female,43,Research Scientist,research scientist,Research Scientist,1,2.5,3,No,17,3,0,Res,RES,F,RES662F
663,Male,72,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,3,Yes,13,3,4,Lab,LAB,M,LAB663M
664,Female,40,Manager,manager,Manager,1,2.5,7,No,11,3,0,Man,MAN,F,MAN664F
665,Female,50,Human Resources,human resources,Human Resources,3,7.5,4,No,11,3,0,Hum,HUM,F,HUM665F
666,Female,31,Sales Representative,sales representative,Sales Representative,3,7.5,1,Yes,18,3,0,Sal,SAL,F,SAL666F
667,Male,85,Sales Representative,sales representative,Sales Representative,1,2.5,0,No,11,3,0,Sal,SAL,M,SAL667M
669,Male,49,Sales Representative,sales representative,Sales Representative,3,7.5,1,No,11,3,1,Sal,SAL,M,SAL669M
671,Male,35,Manager,manager,Manager,4,10,4,Yes,12,3,0,Man,MAN,M,MAN671M
675,Male,69,Research Scientist,research scientist,Research Scientist,3,7.5,0,No,20,4,2,Res,RES,M,RES675M
677,Male,39,Sales Executive,sales executive,Sales Executive,3,7.5,0,No,12,3,1,Sal,SAL,M,SAL677M
679,Female,92,Research Scientist,research scientist,Research Scientist,4,10,1,Yes,12,3,0,Res,RES,F,RES679F
680,Female,71,Research Scientist,research scientist,Research Scientist,3,7.5,1,No,20,4,0,Res,RES,F,RES680F
682,Female,34,Sales Executive,sales executive,Sales Executive,1,2.5,7,No,20,4,8,Sal,SAL,F,SAL682F
683,Male,42,Research Scientist,research scientist,Research Scientist,4,10,1,No,12,3,8,Res,RES,M,RES683M
684,Female,100,Sales Executive,sales executive,Sales Executive,1,2.5,2,No,14,3,0,Sal,SAL,F,SAL684F
686,Female,71,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,1,Yes,13,3,0,Lab,LAB,F,LAB686F
689,Male,36,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,1,No,15,3,7,Man,MAN,M,MAN689M
690,Female,62,Sales Executive,sales executive,Sales Executive,3,7.5,1,No,14,3,1,Sal,SAL,F,SAL690F
691,Male,82,Research Scientist,research scientist,Research Scientist,4,10,1,No,13,3,11,Res,RES,M,RES691M
692,Male,30,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,3,No,23,4,4,Hea,HEA,M,HEA692M
698,Male,88,Human Resources,human resources,Human Resources,2,5,2,No,15,3,7,Hum,HUM,M,HUM698M
699,Male,48,Manufacturing Director,manufacturing director,Manufacturing Leader,2,5,2,Yes,11,3,0,Man,MAN,M,MAN699M
700,Male,54,Research Scientist,research scientist,Research Scientist,4,10,0,No,13,3,1,Res,RES,M,RES700M
701,Male,32,Research Scientist,research scientist,Research Scientist,3,7.5,1,Yes,11,3,1,Res,RES,M,RES701M
702,Male,70,Research Scientist,research scientist,Research Scientist,1,2.5,1,Yes,11,3,9,Res,RES,M,RES702M
704,Male,41,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,1,No,18,3,0,Lab,LAB,M,LAB704M
705,Male,58,Research Scientist,research scientist,Research Scientist,1,2.5,2,No,16,3,0,Res,RES,M,RES705M
707,Male,57,Sales Executive,sales executive,Sales Executive,2,5,0,No,22,4,1,Sal,SAL,M,SAL707M
709,Female,46,Sales Executive,sales executive,Sales Executive,4,10,0,No,20,4,0,Sal,SAL,F,SAL709F
710,Male,76,Research Scientist,research scientist,Research Scientist,4,10,1,No,18,3,2,Res,RES,M,RES710M
712,Male,56,Sales Executive,sales executive,Sales Executive,2,5,3,No,12,3,2,Sal,SAL,M,SAL712M
714,Female,71,Sales Executive,sales executive,Sales Executive,4,10,1,Yes,20,4,0,Sal,SAL,F,SAL714F
715,Male,80,Research Scientist,research scientist,Research Scientist,4,10,3,No,17,3,0,Res,RES,M,RES715M
716,Male,74,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,1,Yes,11,3,3,Lab,LAB,M,LAB716M
717,Female,46,Healthcare Representative,healthcare representative,Healthcare Representative,2,5,1,No,14,3,7,Hea,HEA,F,HEA717F
720,Female,65,Sales Executive,sales executive,Sales Executive,3,7.5,9,No,14,3,2,Sal,SAL,F,SAL720F
721,Female,80,Healthcare Representative,healthcare representative,Healthcare Representative,3,7.5,1,No,11,3,11,Hea,HEA,F,HEA721F
722,Male,55,Sales Executive,sales executive,Sales Executive,4,10,1,No,12,3,0,Sal,SAL,M,SAL722M
723,Male,50,Sales Executive,sales executive,Sales Executive,3,7.5,3,Yes,14,3,1,Sal,SAL,M,SAL723M
724,Female,33,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,0,No,13,3,1,Hea,HEA,F,HEA724F
725,Female,68,Manufacturing Director,manufacturing director,Manufacturing Leader,1,2.5,1,No,11,3,0,Man,MAN,F,MAN725F
727,Female,39,Research Director,research director,Research Leader,4,10,3,No,15,3,7,Res,RES,F,RES727F
728,Male,42,Sales Executive,sales executive,Sales Executive,1,2.5,2,No,12,3,1,Sal,SAL,M,SAL728M
729,Male,48,Sales Executive,sales executive,Sales Executive,1,2.5,5,Yes,21,4,1,Sal,SAL,M,SAL729M
730,Male,59,Research Director,research director,Research Leader,3,7.5,3,No,19,3,1,Res,RES,M,RES730M
731,Male,73,Manager,manager,Manager,4,10,3,No,15,3,12,Man,MAN,M,MAN731M
732,Male,84,Sales Executive,sales executive,Sales Executive,1,2.5,8,No,14,3,2,Sal,SAL,M,SAL732M
733,Male,32,Manufacturing Director,manufacturing director,Manufacturing Leader,1,2.5,1,No,21,4,1,Man,MAN,M,MAN733M
734,Male,59,Manager,manager,Manager,3,7.5,1,No,12,3,2,Man,MAN,M,MAN734M
738,Male,54,Sales Representative,sales representative,Sales Representative,2,5,7,No,15,3,2,Sal,SAL,M,SAL738M
741,Female,67,Research Scientist,research scientist,Research Scientist,2,5,7,Yes,13,3,3,Res,RES,F,RES741F
742,Female,63,Research Director,research director,Research Leader,1,2.5,9,No,14,3,0,Res,RES,F,RES742F
743,Female,81,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,4,Yes,14,3,0,Man,MAN,F,MAN743F
744,Male,49,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,2,No,14,3,1,Lab,LAB,M,LAB744M
746,Female,49,Sales Executive,sales executive,Sales Executive,3,7.5,9,Yes,12,3,11,Sal,SAL,F,SAL746F
747,Male,99,Sales Executive,sales executive,Sales Executive,4,10,7,No,23,4,7,Sal,SAL,M,SAL747M
749,Male,99,Sales Representative,sales representative,Sales Representative,3,7.5,1,No,11,3,0,Sal,SAL,M,SAL749M
752,Male,57,Research Scientist,research scientist,Research Scientist,3,7.5,6,Yes,12,3,2,Res,RES,M,RES752M
754,Male,47,Sales Executive,sales executive,Sales Executive,4,10,3,No,18,3,2,Sal,SAL,M,SAL754M
757,Female,96,Healthcare Representative,healthcare representative,Healthcare Representative,3,7.5,3,No,11,3,4,Hea,HEA,F,HEA757F
758,Male,37,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,1,No,14,3,0,Lab,LAB,M,LAB758M
760,Female,44,Human Resources,human resources,Human Resources,2,5,9,No,15,3,3,Hum,HUM,F,HUM760F
762,Male,81,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,7,No,11,3,1,Hea,HEA,M,HEA762M
763,Female,86,Research Scientist,research scientist,Research Scientist,4,10,0,Yes,20,4,2,Res,RES,F,RES763F
764,Female,55,Healthcare Representative,healthcare representative,Healthcare Representative,1,2.5,8,No,19,3,0,Hea,HEA,F,HEA764F
766,Male,83,Sales Representative,sales representative,Sales Representative,2,5,1,No,14,3,2,Sal,SAL,M,SAL766M
769,Male,86,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,2,No,17,3,2,Lab,LAB,M,LAB769M
771,Female,61,Healthcare Representative,healthcare representative,Healthcare Representative,1,2.5,2,No,11,3,0,Hea,HEA,F,HEA771F
772,Male,80,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,1,No,15,3,4,Lab,LAB,M,LAB772M
773,Male,92,Research Scientist,research scientist,Research Scientist,3,7.5,6,Yes,13,3,0,Res,RES,M,RES773M
775,Female,32,Manufacturing Director,manufacturing director,Manufacturing Leader,1,2.5,3,No,14,3,0,Man,MAN,F,MAN775F
776,Male,31,Manager,manager,Manager,1,2.5,1,No,11,3,1,Man,MAN,M,MAN776M
780,Male,63,Research Scientist,research scientist,Research Scientist,4,10,1,Yes,13,3,7,Res,RES,M,RES780M
781,Female,32,Sales Executive,sales executive,Sales Executive,4,10,1,No,23,4,1,Sal,SAL,F,SAL781F
783,Male,46,Sales Representative,sales representative,Sales Representative,3,7.5,0,No,13,3,3,Sal,SAL,M,SAL783M
784,Male,79,Research Scientist,research scientist,Research Scientist,3,7.5,1,No,18,3,0,Res,RES,M,RES784M
785,Female,77,Sales Executive,sales executive,Sales Executive,3,7.5,4,Yes,12,3,1,Sal,SAL,F,SAL785F
786,Male,60,Sales Executive,sales executive,Sales Executive,4,10,1,No,22,4,1,Sal,SAL,M,SAL786M
787,Male,78,Manager,manager,Manager,1,2.5,5,Yes,13,3,1,Man,MAN,M,MAN787M
789,Male,76,Sales Executive,sales executive,Sales Executive,1,2.5,1,No,15,3,0,Sal,SAL,M,SAL789M
791,Male,41,Research Scientist,research scientist,Research Scientist,4,10,0,No,18,3,1,Res,RES,M,RES791M
792,Female,71,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,3,No,14,3,2,Lab,LAB,F,LAB792F
793,Female,66,Healthcare Representative,healthcare representative,Healthcare Representative,3,7.5,4,No,12,3,1,Hea,HEA,F,HEA793F
796,Male,38,Sales Executive,sales executive,Sales Executive,1,2.5,6,No,17,3,1,Sal,SAL,M,SAL796M
797,Female,72,Research Scientist,research scientist,Research Scientist,4,10,2,No,16,3,1,Res,RES,F,RES797F
799,Female,95,Manufacturing Director,manufacturing director,Manufacturing Leader,1,2.5,9,Yes,11,3,1,Man,MAN,F,MAN799F
800,Male,84,Sales Executive,sales executive,Sales Executive,4,10,0,No,19,3,1,Sal,SAL,M,SAL800M
802,Female,82,Research Scientist,research scientist,Research Scientist,1,2.5,0,Yes,13,3,4,Res,RES,F,RES802F
803,Female,75,Manufacturing Director,manufacturing director,Manufacturing Leader,1,2.5,6,Yes,12,3,4,Man,MAN,F,MAN803F
804,Female,86,Research Scientist,research scientist,Research Scientist,1,2.5,1,No,11,3,1,Res,RES,F,RES804F
805,Female,72,Sales Representative,sales representative,Sales Representative,4,10,1,No,16,3,0,Sal,SAL,F,SAL805F
806,Male,38,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,3,No,21,4,0,Lab,LAB,M,LAB806M
807,Female,38,Healthcare Representative,healthcare representative,Healthcare Representative,2,5,1,No,24,4,3,Hea,HEA,F,HEA807F
808,Female,93,Sales Executive,sales executive,Sales Executive,1,2.5,5,No,17,3,1,Sal,SAL,F,SAL808F
809,Male,66,Manager,manager,Manager,4,10,1,No,13,3,14,Man,MAN,M,MAN809M
811,Male,63,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,1,Yes,21,4,0,Lab,LAB,M,LAB811M
812,Male,60,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,1,No,11,3,0,Lab,LAB,M,LAB812M
813,Female,82,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,8,No,20,4,1,Lab,LAB,F,LAB813F
815,Male,64,Research Director,research director,Research Leader,3,7.5,5,No,16,3,0,Res,RES,M,RES815M
816,Female,36,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,1,Yes,11,3,0,Lab,LAB,F,LAB816F
817,Male,49,Research Director,research director,Research Leader,3,7.5,0,No,11,3,3,Res,RES,M,RES817M
819,Female,69,Sales Executive,sales executive,Sales Executive,1,2.5,5,No,15,3,0,Sal,SAL,F,SAL819F
820,Female,33,Manager,manager,Manager,4,10,1,Yes,11,3,3,Man,MAN,F,MAN820F
823,Female,35,Manufacturing Director,manufacturing director,Manufacturing Leader,2,5,0,No,15,3,0,Man,MAN,F,MAN823F
824,Male,81,Research Scientist,research scientist,Research Scientist,3,7.5,1,No,24,4,0,Res,RES,M,RES824M
825,Male,31,Research Director,research director,Research Leader,2,5,7,Yes,12,3,13,Res,RES,M,RES825M
826,Female,40,Research Scientist,research scientist,Research Scientist,3,7.5,3,No,13,3,2,Res,RES,F,RES826F
827,Female,43,Manufacturing Director,manufacturing director,Manufacturing Leader,4,10,9,Yes,13,3,0,Man,MAN,F,MAN827F
828,Male,46,Research Scientist,research scientist,Research Scientist,3,7.5,6,No,17,3,2,Res,RES,M,RES828M
829,Male,36,Human Resources,human resources,Human Resources,2,5,4,No,13,3,0,Hum,HUM,M,HUM829M
830,Female,98,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,1,No,12,3,6,Man,MAN,F,MAN830F
832,Male,51,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,6,No,14,3,0,Lab,LAB,M,LAB832M
833,Female,52,Manufacturing Director,manufacturing director,Manufacturing Leader,4,10,5,Yes,24,4,0,Man,MAN,F,MAN833F
834,Female,95,Research Scientist,research scientist,Research Scientist,3,7.5,1,No,14,3,0,Res,RES,F,RES834F
836,Male,98,Manufacturing Director,manufacturing director,Manufacturing Leader,2,5,1,No,13,3,7,Man,MAN,M,MAN836M
837,Male,45,Healthcare Representative,healthcare representative,Healthcare Representative,1,2.5,2,No,15,3,1,Hea,HEA,M,HEA837M
838,Female,100,Research Scientist,research scientist,Research Scientist,4,10,1,No,16,3,1,Res,RES,F,RES838F
840,Female,43,Sales Executive,sales executive,Sales Executive,4,10,1,No,18,3,7,Sal,SAL,F,SAL840F
842,Male,37,Sales Executive,sales executive,Sales Executive,4,10,4,No,16,3,7,Sal,SAL,M,SAL842M
843,Male,94,Research Director,research director,Research Leader,1,2.5,6,No,24,4,1,Res,RES,M,RES843M
844,Male,42,Research Director,research director,Research Leader,4,10,1,Yes,16,3,0,Res,RES,M,RES844M
845,Male,59,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,3,No,21,4,1,Man,MAN,M,MAN845M
846,Female,81,Sales Executive,sales executive,Sales Executive,2,5,1,Yes,20,4,7,Sal,SAL,F,SAL846F
847,Male,88,Human Resources,human resources,Human Resources,4,10,0,No,19,3,0,Hum,HUM,M,HUM847M
848,Female,88,Research Scientist,research scientist,Research Scientist,3,7.5,1,Yes,14,3,1,Res,RES,F,RES848F
850,Male,50,Research Scientist,research scientist,Research Scientist,4,10,1,No,11,3,0,Res,RES,M,RES850M
851,Female,66,Manager,manager,Manager,3,7.5,2,No,14,3,4,Man,MAN,F,MAN851F
852,Male,50,Healthcare Representative,healthcare representative,Healthcare Representative,2,5,9,No,12,3,2,Hea,HEA,M,HEA852M
854,Male,65,Research Scientist,research scientist,Research Scientist,1,2.5,7,No,13,3,0,Res,RES,M,RES854M
855,Male,48,Sales Executive,sales executive,Sales Executive,1,2.5,1,No,22,4,0,Sal,SAL,M,SAL855M
856,Female,53,Research Scientist,research scientist,Research Scientist,1,2.5,1,No,11,3,1,Res,RES,F,RES856F
857,Male,56,Sales Executive,sales executive,Sales Executive,4,10,1,Yes,14,3,4,Sal,SAL,M,SAL857M
859,Male,73,Sales Executive,sales executive,Sales Executive,4,10,2,No,11,3,0,Sal,SAL,M,SAL859M
861,Male,75,Research Scientist,research scientist,Research Scientist,4,10,9,No,12,3,0,Res,RES,M,RES861M
862,Female,78,Sales Executive,sales executive,Sales Executive,4,10,7,Yes,18,3,0,Sal,SAL,F,SAL862F
864,Male,74,Sales Executive,sales executive,Sales Executive,1,2.5,4,Yes,12,3,0,Sal,SAL,M,SAL864M
865,Female,91,Research Scientist,research scientist,Research Scientist,3,7.5,5,No,12,3,1,Res,RES,F,RES865F
867,Female,81,Manufacturing Director,manufacturing director,Manufacturing Leader,4,10,3,No,22,4,0,Man,MAN,F,MAN867F
868,Male,66,Sales Executive,sales executive,Sales Executive,3,7.5,4,No,19,3,0,Sal,SAL,M,SAL868M
869,Male,63,Human Resources,human resources,Human Resources,4,10,1,No,13,3,0,Hum,HUM,M,HUM869M
872,Male,33,Manufacturing Director,manufacturing director,Manufacturing Leader,4,10,6,No,22,4,2,Man,MAN,M,MAN872M
874,Male,62,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,2,Yes,24,4,0,Lab,LAB,M,LAB874M
875,Male,35,Research Scientist,research scientist,Research Scientist,4,10,5,Yes,14,3,2,Res,RES,M,RES875M
878,Male,77,Human Resources,human resources,Human Resources,1,2.5,0,No,21,4,0,Hum,HUM,M,HUM878M
879,Male,98,Sales Executive,sales executive,Sales Executive,1,2.5,1,Yes,18,3,0,Sal,SAL,M,SAL879M
880,Female,66,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,1,Yes,20,4,5,Man,MAN,F,MAN880F
881,Female,96,Research Scientist,research scientist,Research Scientist,2,5,1,Yes,19,3,7,Res,RES,F,RES881F
882,Male,61,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,0,No,12,3,0,Lab,LAB,M,LAB882M
885,Male,87,Sales Executive,sales executive,Sales Executive,1,2.5,1,No,12,3,0,Sal,SAL,M,SAL885M
887,Female,36,Research Scientist,research scientist,Research Scientist,1,2.5,2,No,16,3,0,Res,RES,F,RES887F
888,Male,46,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,0,No,17,3,3,Lab,LAB,M,LAB888M
889,Male,48,Sales Executive,sales executive,Sales Executive,2,5,1,No,14,3,5,Sal,SAL,M,SAL889M
893,Male,98,Sales Representative,sales representative,Sales Representative,2,5,0,No,19,3,1,Sal,SAL,M,SAL893M
894,Female,95,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,2,Yes,13,3,1,Lab,LAB,F,LAB894F
895,Male,48,Research Scientist,research scientist,Research Scientist,4,10,3,Yes,19,3,0,Res,RES,M,RES895M
896,Female,48,Sales Representative,sales representative,Sales Representative,3,7.5,6,Yes,19,3,0,Sal,SAL,F,SAL896F
897,Male,73,Sales Executive,sales executive,Sales Executive,4,10,5,No,14,3,2,Sal,SAL,M,SAL897M
899,Male,78,Manufacturing Director,manufacturing director,Manufacturing Leader,2,5,3,No,16,3,4,Man,MAN,M,MAN899M
900,Female,54,Sales Representative,sales representative,Sales Representative,4,10,5,No,15,3,0,Sal,SAL,F,SAL900F
901,Female,72,Research Director,research director,Research Leader,4,10,6,No,18,3,3,Res,RES,F,RES901F
902,Female,33,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,4,No,13,3,2,Hea,HEA,F,HEA902F
903,Female,35,Sales Executive,sales executive,Sales Executive,4,10,0,Yes,22,4,7,Sal,SAL,F,SAL903F
904,Male,32,Sales Executive,sales executive,Sales Executive,2,5,1,Yes,13,3,0,Sal,SAL,M,SAL904M
905,Male,98,Manager,manager,Manager,1,2.5,1,No,11,3,14,Man,MAN,M,MAN905M
909,Female,42,Human Resources,human resources,Human Resources,4,10,8,No,11,3,0,Hum,HUM,F,HUM909F
910,Male,57,Human Resources,human resources,Human Resources,2,5,3,Yes,11,3,0,Hum,HUM,M,HUM910M
911,Male,87,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,1,Yes,24,4,0,Lab,LAB,M,LAB911M
912,Female,62,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,6,No,14,3,0,Lab,LAB,F,LAB912F
913,Male,61,Research Scientist,research scientist,Research Scientist,1,2.5,1,Yes,13,3,7,Res,RES,M,RES913M
916,Male,98,Sales Executive,sales executive,Sales Executive,4,10,1,No,14,3,0,Sal,SAL,M,SAL916M
918,Male,57,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,9,Yes,14,3,0,Lab,LAB,M,LAB918M
920,Female,55,Manufacturing Director,manufacturing director,Manufacturing Leader,2,5,4,No,21,4,0,Man,MAN,F,MAN920F
922,Female,49,Sales Representative,sales representative,Sales Representative,3,7.5,1,No,13,3,0,Sal,SAL,F,SAL922F
923,Female,65,Research Scientist,research scientist,Research Scientist,4,10,1,No,19,3,0,Res,RES,F,RES923F
924,Male,68,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,0,Yes,17,3,4,Hea,HEA,M,HEA924M
925,Female,65,Sales Representative,sales representative,Sales Representative,4,10,1,Yes,18,3,1,Sal,SAL,F,SAL925F
926,Female,34,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,0,Yes,19,3,0,Man,MAN,F,MAN926F
927,Female,57,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,4,Yes,13,3,1,Lab,LAB,F,LAB927F
930,Female,77,Research Scientist,research scientist,Research Scientist,3,7.5,5,No,18,3,2,Res,RES,F,RES930F
932,Male,70,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,7,Yes,21,4,2,Lab,LAB,M,LAB932M
933,Female,76,Research Scientist,research scientist,Research Scientist,3,7.5,1,No,19,3,0,Res,RES,F,RES933F
934,Male,83,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,1,No,14,3,1,Lab,LAB,M,LAB934M
936,Female,68,Sales Executive,sales executive,Sales Executive,3,7.5,7,No,17,3,0,Sal,SAL,F,SAL936F
939,Male,100,Research Scientist,research scientist,Research Scientist,1,2.5,3,Yes,11,3,0,Res,RES,M,RES939M
940,Female,37,Healthcare Representative,healthcare representative,Healthcare Representative,2,5,2,Yes,13,3,0,Hea,HEA,F,HEA940F
941,Male,41,Sales Representative,sales representative,Sales Representative,3,7.5,3,No,15,3,5,Sal,SAL,M,SAL941M
942,Female,51,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,1,Yes,25,4,0,Hea,HEA,F,HEA942F
944,Female,51,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,4,No,11,3,1,Lab,LAB,F,LAB944F
945,Male,51,Research Scientist,research scientist,Research Scientist,3,7.5,4,No,17,3,0,Res,RES,M,RES945M
947,Female,45,Sales Executive,sales executive,Sales Executive,3,7.5,1,No,13,3,0,Sal,SAL,F,SAL947F
949,Male,65,Research Scientist,research scientist,Research Scientist,4,10,2,No,18,3,0,Res,RES,M,RES949M
950,Female,80,Research Director,research director,Research Leader,1,2.5,1,No,13,3,5,Res,RES,F,RES950F
951,Female,70,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,6,No,20,4,0,Lab,LAB,F,LAB951F
952,Male,36,Sales Representative,sales representative,Sales Representative,2,5,1,Yes,18,3,0,Sal,SAL,M,SAL952M
954,Male,67,Sales Executive,sales executive,Sales Executive,2,5,2,No,12,3,0,Sal,SAL,M,SAL954M
956,Male,52,Sales Executive,sales executive,Sales Executive,1,2.5,1,No,12,3,0,Sal,SAL,M,SAL956M
957,Male,59,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,2,Yes,13,3,2,Lab,LAB,M,LAB957M
958,Male,79,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,4,No,21,4,3,Lab,LAB,M,LAB958M
959,Male,37,Sales Representative,sales representative,Sales Representative,2,5,1,Yes,13,3,0,Sal,SAL,M,SAL959M
960,Male,84,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,1,No,19,3,0,Lab,LAB,M,LAB960M
961,Female,41,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,0,Yes,11,3,8,Hea,HEA,F,HEA961F
964,Male,35,Research Scientist,research scientist,Research Scientist,2,5,8,Yes,14,3,0,Res,RES,M,RES964M
966,Female,93,Manufacturing Director,manufacturing director,Manufacturing Leader,1,2.5,1,No,12,3,6,Man,MAN,F,MAN966F
967,Male,51,Sales Executive,sales executive,Sales Executive,4,10,1,Yes,11,3,3,Sal,SAL,M,SAL967M
969,Female,42,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,0,No,14,3,1,Hea,HEA,F,HEA969F
970,Male,46,Sales Executive,sales executive,Sales Executive,3,7.5,5,No,11,3,11,Sal,SAL,M,SAL970M
972,Male,57,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,1,No,12,3,0,Lab,LAB,M,LAB972M
974,Female,84,Sales Representative,sales representative,Sales Representative,4,10,1,No,15,3,0,Sal,SAL,F,SAL974F
975,Female,86,Sales Executive,sales executive,Sales Executive,3,7.5,1,No,16,3,1,Sal,SAL,F,SAL975F
976,Male,70,Manager,manager,Manager,4,10,2,No,15,3,7,Man,MAN,M,MAN976M
977,Male,51,Research Scientist,research scientist,Research Scientist,3,7.5,4,No,24,4,0,Res,RES,M,RES977M
981,Male,45,Manager,manager,Manager,3,7.5,6,No,13,3,15,Man,MAN,M,MAN981M
982,Male,62,Sales Executive,sales executive,Sales Executive,3,7.5,5,No,11,3,7,Sal,SAL,M,SAL982M
983,Female,85,Sales Executive,sales executive,Sales Executive,4,10,1,Yes,13,3,1,Sal,SAL,F,SAL983F
984,Male,92,Sales Executive,sales executive,Sales Executive,4,10,6,No,13,3,0,Sal,SAL,M,SAL984M
985,Male,41,Sales Executive,sales executive,Sales Executive,3,7.5,0,No,18,3,0,Sal,SAL,M,SAL985M
986,Female,100,Sales Executive,sales executive,Sales Executive,2,5,4,Yes,16,3,0,Sal,SAL,F,SAL986F
987,Male,64,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,1,Yes,19,3,2,Man,MAN,M,MAN987M
990,Male,84,Sales Executive,sales executive,Sales Executive,4,10,4,No,13,3,0,Sal,SAL,M,SAL990M
991,Male,46,Research Scientist,research scientist,Research Scientist,1,2.5,0,Yes,22,4,1,Res,RES,M,RES991M
992,Male,38,Manager,manager,Manager,3,7.5,1,No,11,3,6,Man,MAN,M,MAN992M
994,Female,92,Research Scientist,research scientist,Research Scientist,1,2.5,6,Yes,20,4,0,Res,RES,F,RES994F
995,Female,53,Research Scientist,research scientist,Research Scientist,4,10,3,No,18,3,0,Res,RES,F,RES995F
996,Female,91,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,3,No,14,3,0,Lab,LAB,F,LAB996F
997,Male,66,Research Director,research director,Research Leader,4,10,9,No,22,4,1,Res,RES,M,RES997M
998,Female,84,Healthcare Representative,healthcare representative,Healthcare Representative,2,5,1,Yes,13,3,1,Hea,HEA,F,HEA998F
999,Male,64,Research Director,research director,Research Leader,3,7.5,2,No,17,3,0,Res,RES,M,RES999M
